fold,roc_auc,pr_auc,best_threshold,best_precision_on_pr,best_recall_on_pr,best_f1_on_pr,precision_at_best_threshold,recall_at_best_threshold,f1_at_best_threshold,confusion_matrix
1,0.742530167097448,0.30872284863435107,0.6014053225517273,0.28209345071103803,0.49165402124430957,0.3584952053105767,0.28209345071103803,0.49165402124430957,0.35849520531104007,"[[37718, 7421], [3015, 2916]]"
2,0.7492983950969353,0.32148097914577456,0.6027570962905884,0.2860474154683249,0.49637497892429605,0.3629415028041962,0.2860474154683249,0.49637497892429605,0.36294150280466003,"[[37791, 7348], [2987, 2944]]"
3,0.7476813199116971,0.31378938523197597,0.6203274130821228,0.29622805115976586,0.4608768971332209,0.3606492478221681,0.29622805115976586,0.4608768971332209,0.3606492478226445,"[[38646, 6493], [3197, 2733]]"
4,0.7512862592284272,0.3207716402650189,0.6295962333679199,0.30671034794396745,0.45784148397976393,0.36733865512061276,0.30671034794396745,0.45784148397976393,0.3673386551210932,"[[39002, 6137], [3215, 2715]]"
5,0.7467097771595945,0.3111991209314284,0.5815832614898682,0.27453449671674013,0.5145843871185297,0.35804786485172835,0.27453449671674013,0.5145843871185297,0.3580478648521821,"[[37073, 8065], [2879, 3052]]"
